sku_id,sku_code,name,price,stock,description
840173,5004752_ea_000pns,Pams Standard UHT Milk 1l,2.29,999,Made using 100% fresh NZ milk sourced from quality New Zealand dairy farms.
926418,5336975_ea_000pns,Whittaker's Banana Caramel Milk Chocolate Block 250g,7.29,999,Our Limited Edition Banana Caramel block is made with creamy milk chocolate and a rich velvety banana infused caramel filling.
315907,5286185_ea_000pns,Banana Chips Refill Pack 270g,5.99,999,Great snacking dried banana that is crunchy and full of flavour.
764532,5017392_ea_000pns,Sanitarium Up & Go Banana Flavour Liquid Breakfast 6 x 250ml,9.99,999,Sanitarium Up&Go Liquid Breakfast Banana 250ml multipack is a single serve breakfast drink for on the go.
482619,5343765_ea_000pns,Pams Rolled Oats 1.5kg,4.49,999,Ready in 3 minutes these rolled oats are delicious as porridge and are a good source of fibre for home baking.
693205,5016454_ea_000pns,Pams Wholegrain Oats 1kg,3.29,999,Ready in 5 minutes with low sodium low sugar and a good source of fibre.
157384,5020959_ea_000pns,Pams Brown Sugar & Honey Instant Oats Sachets 350g,3.99,999,A creamy oat porridge with the sweet aromatic flavours of brown sugar and honey.
908271,5344508_ea_000pns,Pams Chocolate Flavoured Instant Oats 350g,3.99,999,A creamy milk chocolate flavoured oat porridge with wholesome warmth in every spoonful.
246813,5334140_ea_000pns,Pams Unsweetened Oat Milk 1l,2.69,999,Creamy with a mild oat flavour and a great dairy alternative for baking cooking smoothies hot drinks and cereals.
735460,5011507_ea_000pns,Harraways Rolled Oats 800g,5.29,999,Proudly made in New Zealand using local South Island oats with a distinctive nutty taste for creamy porridge.
394827,5002082_ea_000pns,Wattie's Spaghetti In Tomato Sauce 420g,2.49,999,New Zealand's favourite spaghetti made with field-grown tomatoes and fresh pasta for quick easy meals.
681594,5025406_ea_000pns,Wattie's Spaghetti In Tomato Sauce 3 x 420g,6.39,999,A convenient three pack of New Zealand's favourite spaghetti in tomato sauce for family meals.
529706,5003867_ea_000nw,Pams Sunflower Oil 500ml,3.69,999,Light coloured sunflower oil with a mild sweet taste and a good source of vitamin E.
817263,5032518_ea_000pns,Vitasoy Unsweetened Coconut Milk 1l,4.49,999,Made from real coconut cream and contains the goodness of calcium in every serving.
460918,5035702_ea_000pns,Alpro Barista For Professionals Coconut Milk 1l,4.79,999,A plant based coconut milk crafted for coffee and everyday use.
973641,5345824_ea_000,Old El Paso Flour Tortilla Regular Family Size 16pk,6.99,999,Super soft flexible wheat flour tortilla wraps for tacos burritos fajitas enchiladas and lunch wraps.
208475,5003851_ea_000pns,Pams Soup Mix 500g,2.29,999,A simple soup mix made from pearl barley split peas and red lentils for hearty homemade soups.
651832,5319745_ea_000pns,Pams Orange Fruit Drink 8 x 125ml,4.35,999,Bursting with flavour and a great choice for lunchboxes or on the go refreshments.
732946,5335227_ea_000pns,Pams Minestrone Soup 500g,4.95,999,A hearty combination of vegetables beans and pasta in a rich tomato soup.
186509,5200602_ea_000pns,Pams Ready Salted Potato Chips Snack Packs 10 x 18g,3.99,999,Crinkle cut and crispy with sea salt flavouring for a tasty snack.
